"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2019",1.47988,
"AUS","PPP","TOT","NATUSD","A","2020",1.453958,
"AUS","PPP","TOT","NATUSD","A","2021",1.447578,
"AUS","PPP","TOT","NATUSD","A","2022",1.446332,
"AUT","PPP","TOT","NATUSD","A","2019",0.749138,
"AUT","PPP","TOT","NATUSD","A","2020",0.746311,
"AUT","PPP","TOT","NATUSD","A","2021",0.756308,
"AUT","PPP","TOT","NATUSD","A","2022",0.71893,
"BEL","PPP","TOT","NATUSD","A","2019",0.746601,
"BEL","PPP","TOT","NATUSD","A","2020",0.730278,
"BEL","PPP","TOT","NATUSD","A","2021",0.736686,
"BEL","PPP","TOT","NATUSD","A","2022",0.713938,
"CAN","PPP","TOT","NATUSD","A","2019",1.234717,
"CAN","PPP","TOT","NATUSD","A","2020",1.231061,
"CAN","PPP","TOT","NATUSD","A","2021",1.238156,
"CAN","PPP","TOT","NATUSD","A","2022",1.253835,
"CZE","PPP","TOT","NATUSD","A","2019",12.274474,
"CZE","PPP","TOT","NATUSD","A","2020",12.461058,
"CZE","PPP","TOT","NATUSD","A","2021",12.742986,
"CZE","PPP","TOT","NATUSD","A","2022",12.723595,
"DNK","PPP","TOT","NATUSD","A","2019",6.634081,
"DNK","PPP","TOT","NATUSD","A","2020",6.551107,
"DNK","PPP","TOT","NATUSD","A","2021",6.589808,
"DNK","PPP","TOT","NATUSD","A","2022",6.31981,
"FIN","PPP","TOT","NATUSD","A","2019",0.838421,
"FIN","PPP","TOT","NATUSD","A","2020",0.823022,
"FIN","PPP","TOT","NATUSD","A","2021",0.82669,
"FIN","PPP","TOT","NATUSD","A","2022",0.80248,
"FRA","PPP","TOT","NATUSD","A","2019",0.716286,
"FRA","PPP","TOT","NATUSD","A","2020",0.71036,
"FRA","PPP","TOT","NATUSD","A","2021",0.718667,
"FRA","PPP","TOT","NATUSD","A","2022",0.692756,
"DEU","PPP","TOT","NATUSD","A","2019",0.728249,
"DEU","PPP","TOT","NATUSD","A","2020",0.725002,
"DEU","PPP","TOT","NATUSD","A","2021",0.736277,
"DEU","PPP","TOT","NATUSD","A","2022",0.719944,
"GRC","PPP","TOT","NATUSD","A","2019",0.548889,
"GRC","PPP","TOT","NATUSD","A","2020",0.544068,
"GRC","PPP","TOT","NATUSD","A","2021",0.545545,
"GRC","PPP","TOT","NATUSD","A","2022",0.52849,
"HUN","PPP","TOT","NATUSD","A","2019",140.828438,
"HUN","PPP","TOT","NATUSD","A","2020",145.351046,
"HUN","PPP","TOT","NATUSD","A","2021",154.748155,
"HUN","PPP","TOT","NATUSD","A","2022",161.240338,
"ISL","PPP","TOT","NATUSD","A","2019",140.697258,
"ISL","PPP","TOT","NATUSD","A","2020",146.668369,
"ISL","PPP","TOT","NATUSD","A","2021",149.679879,
"ISL","PPP","TOT","NATUSD","A","2022",148.660051,
"IRL","PPP","TOT","NATUSD","A","2019",0.805766,
